,position,band,song,first_letter,year
0,500,AUDIOSLAVE,COCHISE,A,2002
1,499,BIG COUNTRY,IN A BIG COUNTRY,B,1983
2,498,LENNY KRAVITZ,LOW,L,2018
3,497,AC/DC,HARD AS A ROCK,A,1995
4,496,U2,BEAUTIFUL DAY,U,2000
5,495,R.E.M.,MAN ON THE MOON,R,1992
6,494,RED HOT CHILI PEPPERS,HUMP DE BUMP,R,2007
7,493,DISHWALLA,COUNTING BLUE CARS,D,1996
8,492,BAD RELIGION,INFECTED,B,1994
9,491,BILLY IDOL,MONY MONY,B,1968
10,490,UGLY KID JOE,EVERYTHING ABOUT YOU,U,1992
11,489,THE VERVE,LUCKY MAN,V,1997
12,488,THE SMASHING PUMPKINS,"TONIGHT, TONIGHT",S,1996
13,487,THE BLACK KEYS,LONELY BOY,B,2011
14,486,BLIND MELON,NO RAIN,B,1993
15,485,COLLECTIVE SOUL,SHINE,C,1993
16,484,DEF LEPPARD,ANIMAL,D,1987
17,483,BOSTON,MORE THAN A FEELING,B,1976
18,482,RED HOT CHILI PEPPERS,TELL ME BABY,R,2006
19,481,THIRTY SECONDS TO MARS,KINGS AND QUEENS,T,2009
20,480,BUSH,MACHINEHEAD,B,1996
21,479,U2,ELEVATION,U,2001
22,478,BON JOVI,ALWAYS,B,1994
23,477,ALICE COOPER,POISON,A,1989
24,476,THE BEATLES,BLACKBIRD,B,1968
25,475,BLUR,SONG 2,B,1997
26,474,AEROSMITH,PINK,A,1997
27,473,KISS,LICK IT UP,K,1983
28,472,U2,VERTIGO,U,2004
29,471,SIOUXSIE AND THE BANSHEES,CITIES IN DUST,S,1985
30,470,RED HOT CHILI PEPPERS,AEROPLANE,R,
31,469,THE SMITHS,PANIC,S,1986
32,468,QUEENS OF THE STONE AGE,NO ONE KNOWS,Q,2002
33,467,BON JOVI,I’LL BE THERE FOR YOU,B,1989
34,466,UGLY KID JOE,CATS IN THE CRADLE,U,1974
35,465,SUBLIME,SANTERIA,S,1997
36,464,HEART,BARRACUDA,H,1977
37,463,RUSH,COLD FIRE,R,1994
38,462,SIMPLE MINDS,ALIVE AND KICKING,S,1985
39,461,BAD COMPANY,CAN’T GET ENOUGH,B,1974
40,460,SOCIAL DISTORTION,BAD LUCK,S,1992
41,459,THE BEATLES,A HARD DAY’S NIGHT,B,1964
42,458,BILLY IDOL,DANCING WITH MYSELF,B,1980
43,457,SPIN DOCTORS,TWO PRINCES,S,1993
44,456,R.E.M.,IMITATION OF LIFE,R,2001
45,455,NEW MODEL ARMY,51ST STATE,N,1986
46,454,FAITH NO MORE,WE CARE A LOT,F,1985
47,453,AEROSMITH,FULL CIRCLE,A,
48,452,OASIS,DON’T GO AWAY,O,1998
49,451,SILVERCHAIR,FREAK,S,1997
50,450,ALICE IN CHAINS,NO EXCUSES,A,1994
51,449,BON JOVI,BAD MEDICINE,B,1988
52,448,HOODOO GURUS,1000 MILES AWAY,H,1991
53,447,MORRISSEY,ALMA MATTERS,M,1997
54,446,RED HOT CHILI PEPPERS,AROUND THE WORLD,R,1999
55,445,THE BEATLES,TICKET TO RIDE,B,1965
56,444,VAN HALEN,NOT ENOUGH,V,
57,443,SKID ROW,IN A DARKENED ROOM,S,1991
58,442,RED HOT CHILI PEPPERS,UNDER THE BRIDGE,R,1992
59,441,OASIS,MORNING GLORY,O,
60,440,MR. BIG,TAKE COVER,M,
61,439,LIVE,HEAVEN,L,2003
62,438,FAITH NO MORE,EVIDENCE,F,1995
63,437,AEROSMITH,LIVIN’ ON THE EDGE,A,1993
64,436,THE COMMITMENTS,IN THE MIDNIGHT HOUR,C,
65,435,MIDNIGHT OIL,THE DEAD HEART,M,1986
66,434,L7,PRETEND WE’RE DEAD,L,1992
67,433,THE CURE,WHY CAN’T I BE YOU?,C,
68,432,THE CLASH,POLICE ON MY BACK,C,
69,431,COLLECTIVE SOUL,DECEMBER,C,1995
70,430,BILLY IDOL,EYES WITHOUT A FACE,B,1984
71,429,STONE SOUR,THROUGH GLASS,S,2006
72,428,U2,I WILL FOLLOW,U,
73,427,IRON MAIDEN,THE TROOPER,I,2005
74,426,MIDNIGHT OIL,KING OF THE MOUNTAIN,M,
75,425,LINKIN PARK,SOMEWHERE I BELONG,L,2003
76,424,CRASH TEST DUMMIES,MMM MMM MMM MMM,C,1993
77,423,ELVIS PRESLEY,BLUE SUEDE SHOES,E,1956
78,422,THE CRANBERRIES,LINGER,C,1994
79,421,BLUE ÖYSTER CULT,BURNIN’ FOR YOU,B,
80,420,TOMMY TUTONE,8675309 / JENNY,T,
81,419,U2,I STILL HAVEN’T FOUND WHAT I’M LOOKING FOR,U,
82,418,AEROSMITH,LOVE IN AN ELEVATOR,A,1989
83,417,DURAN DURAN,ORDINARY WORLD,D,1993
84,416,THE VERVE,BITTER SWEET SYMPHONY,V,1997
85,415,THE CLASH,ROCK THE CASBAH,C,1982
86,414,SOCIAL DISTORTION,STORY OF MY LIFE,S,1990
87,413,TEARS FOR FEARS,BREAK IT DOWN AGAIN,T,1993
88,412,NEIL YOUNG,ROCKIN’ IN THE FREE WORLD,N,1989
89,411,COVERDALE/PAGE,SHAKE MY TREE,C,
90,410,ECHO & THE BUNNYMEN,LIPS LIKE SUGAR,E,1987
91,409,THE BOLSHOI,SUNDAY MORNING,B,
92,408,AC/DC,ARE YOU READY,A,
93,407,RUSH,ROLL THE BONES,R,1991
94,406,T.S.O.L.,FLOWERS BY THE DOOR,T,
95,405,BLUE ÖYSTER CULT,GODZILLA,B,
96,404,ARCTIC MONKEYS,FLUORESCENT ADOLESCENT,A,2007
97,403,BILLY IDOL,REBEL YELL,B,1983
98,402,U2,ONE,U,1992
99,401,TEMPLE OF THE DOG,HUNGER STRIKE,T,1991
100,400,THE BEATLES,THE BALLAD OF JOHN AND YOKO,B,1969
101,399,VAN HALEN,DANCE THE NIGHT AWAY,V,1979
102,398,R.E.M.,SHINY HAPPY PEOPLE,R,1991
103,397,MR. BIG,TO BE WITH YOU,M,1992
104,396,EXTREME,REST IN PEACE,E,1992
105,395,FRANZ FERDINAND,TAKE ME OUT,F,2004
106,394,SOUNDGARDEN,FELL ON BLACK DAYS,S,1994
107,393,THE OFFSPRING,COME OUT AND PLAY,O,
108,392,THE KNACK,MY SHARONA,K,1979
109,391,THE CURE,PICTURES OF YOU,C,1990
110,390,BON JOVI,KEEP THE FAITH,B,1992
111,389,TWISTED SISTER,WE’RE NOT GONNA TAKE IT,T,1984
112,388,THE CULT,WILD FLOWER,C,
113,387,LIMP BIZKIT,TAKE A LOOK AROUND,L,2000
114,386,MIDNIGHT OIL,FORGOTTEN YEARS,M,
115,385,FOGHAT,SLOW RIDE,F,1975
116,384,THE WHITE STRIPES,SEVEN NATION ARMY,W,2003
117,383,THE CURE,KILLING AN ARAB,C,1979
118,382,THE SMASHING PUMPKINS,1979,S,1996
119,381,A FLOCK OF SEAGULLS,I RAN (SO FAR AWAY),A,
120,380,TEARS FOR FEARS,EVERYBODY WANTS TO RULE THE WORLD,T,1985
121,379,AEROSMITH,FALLING IN LOVE (IS HARD ON THE KNEES),A,
122,378,MOTLEY CRUE,"GIRLS, GIRLS, GIRLS",M,1987
123,377,TOTO,AFRICA,T,1982
124,376,VAN HALEN,DREAMS,V,1986
125,375,GHOST,DANCE MACABRE,G,
126,374,AEROSMITH,I DON’T WANT TO MISS A THING,A,1998
127,373,TALKING HEADS,PSYCHO KILLER,T,1977
128,372,SKID ROW,18 AND LIFE,S,1989
129,371,RED HOT CHILI PEPPERS,CAN’T STOP,R,2003
130,370,LENNY KRAVITZ,ARE YOU GONNA GO MY WAY,L,1993
131,369,THE SMITHS,THIS CHARMING MAN,S,1983
132,368,NIRVANA,LITHIUM,N,1992
133,367,LINKIN PARK,NUMB,L,2003
134,366,METALLICA,WHISKEY IN THE JAR,M,1968
135,365,THE STROKES,LAST NITE,S,2001
136,364,SEX PISTOLS,GOD SAVE THE QUEEN,S,1962
137,363,ALICE COOPER,SCHOOL’S OUT,A,1972
138,362,PAUL MCCARTNEY,COME ON TO ME,P,
139,361,PETER SCHILLING,MAJOR TOM (COMING HOME),P,
140,360,TWISTED SISTER,I WANNA ROCK,T,1984
141,359,THE CLASH,TRAIN IN VAIN (STAND BY ME),C,
142,358,SUPERTRAMP,GIVE A LITTLE BIT,S,1977
143,357,RADIOHEAD,CREEP,R,1992
144,356,OASIS,LIVE FOREVER,O,1994
145,355,THE SISTERS OF MERCY,LUCRETIA MY REFLECTION,S,1988
146,354,NIRVANA,IN BLOOM,N,1992
147,353,JOEY RAMONE,WHAT A WONDERFUL WORLD,J,1967
148,352,LINKIN PARK,IN THE END,L,2001
149,351,PEARL JAM,SOLDIER OF LOVE,P,
150,350,JET,ARE YOU GONNA BE MY GIRL,J,2004
151,349,THE OFFSPRING,PRETTY FLY (FOR A WHITE GUY),O,1998
152,348,VAN HALEN,CAN’T STOP LOVIN’ YOU,V,1995
153,347,BRUCE SPRINGSTEEN,BORN IN THE USA,B,
154,346,LENNY KRAVITZ,AMERICAN WOMAN,L,1970
155,345,ARCTIC MONKEYS,R U MINE?,A,
156,344,BRUCE DICKINSON,TEARS OF THE DRAGON,B,1994
157,343,U2,NEW YEAR’S DAY,U,
158,342,VAN HALEN,UNCHAINED,V,1981
159,341,SOUNDGARDEN,BLACK HOLE SUN,S,1994
160,340,THE SMITHS,ASK,S,1986
161,339,RED HOT CHILI PEPPERS,BY THE WAY,R,2002
162,338,VAN HALEN,HOT FOR TEACHER,V,
163,337,ROBERT PLANT,29 PALMS,R,
164,336,THE CLASH,SHOULD I STAY OR SHOULD I GO,C,1982
165,335,ALICE COOPER,NO MORE MR. NICE GUY,A,1973
166,334,KISS,SHOUT IT OUT LOUD,K,1976
167,333,GUNS N’ ROSES,CIVIL WAR,G,
168,332,AEROSMITH,JADED,A,2000
169,331,DEREK AND THE DOMINOS,LAYLA,D,1971
170,330,AUDIOSLAVE,BE YOURSELF,A,2005
171,329,IRON MAIDEN,HEAVEN CAN WAIT,I,
172,328,SCORPIONS,STILL LOVING YOU,S,1984
173,327,THE SISTERS OF MERCY,MORE,S,1990
174,326,THE SMITHS,HOW SOON IS NOW,S,1985
175,325,THE ROLLING STONES,YOU CAN’T ALWAYS GET WHAT YOU WANT,R,1969
176,324,ALICE IN CHAINS,WOULD?,A,
177,323,DEEP PURPLE,SOMETIMES I FEEL LIKE SCREAMING,D,
178,322,YES,ROUNDABOUT,Y,1972
179,321,PETER FRAMPTON,BREAKING ALL THE RULES,P,
180,320,THE WHO,WON’T GET FOOLED AGAIN,W,1971
181,319,RED HOT CHILI PEPPERS,DANI CALIFORNIA,R,2006
182,318,VAN HALEN,WHEN IT’S LOVE,V,1988
183,317,FAITH NO MORE,EPIC,F,
184,316,PINK FLOYD,HIGH HOPES,P,1994
185,315,ARC ANGELS,SENT BY ANGELS,A,
186,314,JON BON JOVI,BLAZE OF GLORY,J,1990
187,313,THE PRETENDERS,MIDDLE OF THE ROAD,P,1983
188,312,TOM PETTY & THE HEARTBREAKERS,AMERICAN GIRL,T,
189,311,THE SMITHS,THERE IS A LIGHT THAT NEVER GOES OUT,S,1992
190,310,OASIS,CHAMPAGNE SUPERNOVA,O,1996
191,309,SCORPIONS,ROCK YOU LIKE A HURRICANE,S,1984
192,308,THE CULT,PAINTED ON MY HEART,C,2000
193,307,THE CURE,JUST LIKE HEAVEN,C,1987
194,306,RUSH,TIME STAND STILL,R,1987
195,305,AEROSMITH,AMAZING,A,1993
196,304,THE ANIMALS,THE HOUSE OF THE RISING SUN,A,1964
197,303,AEROSMITH,JANIE’S GOT A GUN,A,1989
198,302,RAGE AGAINST THE MACHINE,KILLING IN THE NAME,R,1992
199,301,THE BEATLES,BACK IN THE U.S.S.R,B,
200,300,THE ROLLING STONES,MISS YOU,R,1978
201,299,DAVID BOWIE,BLUE JEAN,D,1984
202,298,BAD RELIGION,AMERICAN JESUS,B,1993
203,297,DEF LEPPARD,POUR SOME SUGAR ON ME,D,2012
204,296,DEPECHE MODE,ENJOY THE SILENCE,D,
205,295,EUROPE,THE FINAL COUNTDOWN,E,1986
206,294,FOO FIGHTERS,MY HERO,F,1998
207,293,VAN HALEN,LOVE WALKS IN,V,1986
208,292,DURAN DURAN,SAVE A PRAYER,D,1982
209,291,THE ROLLING STONES,SYMPATHY FOR THE DEVIL,R,1968
210,290,THE DOOBIE BROTHERS,LONG TRAIN RUNNIN’,D,1973
211,289,INXS,BY MY SIDE,I,
212,288,SIMPLE MINDS,DON’T YOU (FORGET ABOUT ME),S,
213,287,THE CULT,EDIE (CIAO BABY),C,
214,286,SEX PISTOLS,ANARCHY IN THE U.K.,S,
215,285,THE CURE,BOYS DON’T CRY,C,1979
216,284,DIRE STRAITS,MONEY FOR NOTHING,D,1985
217,283,FAITH NO MORE,FALLING TO PIECES,F,1990
218,282,THE BEACH BOYS,SURFIN’ U.S.A.,B,
219,281,RAMONES,SHEENA IS A PUNK ROCKER,R,
220,280,THE OUTFIELD,YOUR LOVE,O,1986
221,279,GENESIS,I CAN’T DANCE,G,
222,278,BLUE ÖYSTER CULT,DON’T FEAR THE REAPER,B,
223,277,LENNY KRAVITZ,AGAIN,L,2000
224,276,THE KILLERS,SOMEBODY TOLD ME,K,2004
225,275,DAVID BOWIE,REBEL REBEL,D,1974
226,274,DAVID COVERDALE,THE LAST NOTE OF FREEDOM,D,
227,273,KISS,I WAS MADE FOR LOVIN’ YOU,K,1979
228,272,MEGADETH,SYMPHONY OF DESTRUCTION,M,1992
229,271,RED HOT CHILI PEPPERS,SCAR TISSUE,R,1999
230,270,THE BEATLES,COME TOGETHER,B,1969
231,269,FOO FIGHTERS,LEARN TO FLY,F,1999
232,268,QUEEN,FAT BOTTOMED GIRLS,Q,1978
233,267,U2,WITH OR WITHOUT YOU,U,
234,266,OASIS,STOP CRYING YOUR HEART OUT,O,2002
235,265,MEN AT WORK,IT’S A MISTAKE,M,1983
236,264,LIVING COLOUR,CULT OF PERSONALITY,L,1988
237,263,RAINBOW,MAN ON THE SILVER MOUNTAIN,R,1975
238,262,AUDIOSLAVE,LIKE A STONE,A,2003
239,261,U2,WHERE THE STREETS HAVE NO NAME,U,
240,260,FAITH NO MORE,EASY,F,
241,259,ELVIS PRESLEY,A LITTLE LESS CONVERSATION,E,1968
242,258,THE POLICE,CAN’T STAND LOSING YOU,P,1979
243,257,GENESIS,THROWING IT ALL AWAY,G,1987
244,256,DAVID BOWIE,THE JEAN GENIE,D,1972
245,255,ALICE COOPER,BILLION DOLLAR BABIES,A,1973
246,254,LENNY KRAVITZ,FLY AWAY,L,1998
247,253,THE OFFSPRING,THE KIDS AREN’T ALRIGHT,O,
248,252,CREEDENCE CLEARWATER REVIVAL,HEY TONIGHT,C,1971
249,251,VELVET REVOLVER,FALL TO PIECES,V,2004
250,250,ERIC CLAPTON,I SHOT THE SHERIFF,E,1973
251,249,DEEP PURPLE,BLACK NIGHT,D,1970
252,248,BAD COMPANY,BAD COMPANY,B,1974
253,247,DAVID BOWIE,LET’S DANCE,D,1983
254,246,BACHMAN TURNER OVERDRIVE,HOLD BACK THE WATER,B,
255,245,QUEEN,A KIND OF MAGIC,Q,1986
256,244,THE POLICE,KING OF PAIN,P,1983
257,243,MEN AT WORK,WHO CAN IT BE NOW?,M,1982
258,242,KISS,FOREVER,K,1990
259,241,JOURNEY,SEPARATE WAYS (WORLDS APART),J,
260,240,IRON MAIDEN,CAN I PLAY WITH MADNESS,I,1988
261,239,ERIC CLAPTON,FOREVER MAN,E,1985
262,238,TOM PETTY,FREE FALLIN’,T,1989
263,237,THE KILLERS,MR. BRIGHTSIDE,K,2003
264,236,THE CULT,SWEET SOUL SISTER,C,1990
265,235,GREEN DAY,BASKET CASE,G,
266,234,JUDAS PRIEST,TURBO LOVER,J,1986
267,233,GRETA VAN FLEET,SAFARI SONG,G,2017
268,232,KISS,DEUCE,K,1974
269,231,THE DOOBIE BROTHERS,LISTEN TO THE MUSIC,D,1972
270,230,4 NON BLONDES,WHAT’S UP?,4,
271,229,GUNS N’ ROSES,KNOCKIN’ ON HEAVEN’S DOOR,G,
272,228,CREEDENCE CLEARWATER REVIVAL,FORTUNATE SON,C,1969
273,227,BON JOVI,RUNAWAY,B,1984
274,226,DAVID BOWIE,STARMAN,D,1972
275,225,SCORPIONS,WIND OF CHANGE,S,1991
276,224,GRAND FUNK RAILROAD,WE’RE AN AMERICAN BAND,G,1973
277,223,THE POLICE,EVERY LITTLE THING SHE DOES IS MAGIC,P,1981
278,222,THIN LIZZY,THE BOYS ARE BACK IN TOWN,T,1991
279,221,RUSH,CLOSER TO THE HEART,R,1977
280,220,GUNS N’ ROSES,YOU COULD BE MINE,G,
281,219,THE DOORS,LOVE ME TWO TIMES,D,1967
282,218,AEROSMITH,FLY AWAY FROM HERE,A,2001
283,217,THE POLICE,DON’T STAND SO CLOSE TO ME,P,1980
284,216,LIVE,PAIN LIES ON THE RIVERSIDE,L,
285,215,KISS,LOVE GUN,K,1977
286,214,ECHO & THE BUNNYMEN,BRING ON THE DANCING HORSES,E,
