,position,band,song,first_letter,year,decade
0,500,AUDIOSLAVE,COCHISE,A,2002,2000s
1,499,BIG COUNTRY,IN A BIG COUNTRY,B,1983,1980s
2,498,LENNY KRAVITZ,LOW,L,2018,2010s
3,497,AC/DC,HARD AS A ROCK,A,1995,1990s
4,496,U2,BEAUTIFUL DAY,U,2000,2000s
5,495,R.E.M.,MAN ON THE MOON,R,1992,1990s
6,494,RED HOT CHILI PEPPERS,HUMP DE BUMP,R,2007,2000s
7,493,DISHWALLA,COUNTING BLUE CARS,D,1996,1990s
8,492,BAD RELIGION,INFECTED,B,1994,1990s
9,491,BILLY IDOL,MONY MONY,B,1968,1960s
10,490,UGLY KID JOE,EVERYTHING ABOUT YOU,U,1992,1990s
11,489,THE VERVE,LUCKY MAN,V,1997,1990s
12,488,THE SMASHING PUMPKINS,"TONIGHT, TONIGHT",S,1996,1990s
13,487,THE BLACK KEYS,LONELY BOY,B,2011,2010s
14,486,BLIND MELON,NO RAIN,B,1993,1990s
15,485,COLLECTIVE SOUL,SHINE,C,1993,1990s
16,484,DEF LEPPARD,ANIMAL,D,1987,1980s
17,483,BOSTON,MORE THAN A FEELING,B,1976,1970s
18,482,RED HOT CHILI PEPPERS,TELL ME BABY,R,2006,2000s
19,481,THIRTY SECONDS TO MARS,KINGS AND QUEENS,T,2009,2000s
20,480,BUSH,MACHINEHEAD,B,1996,1990s
21,479,U2,ELEVATION,U,2001,2000s
22,478,BON JOVI,ALWAYS,B,1994,1990s
23,477,ALICE COOPER,POISON,A,1989,1980s
24,476,THE BEATLES,BLACKBIRD,B,1968,1960s
25,475,BLUR,SONG 2,B,1997,1990s
26,474,AEROSMITH,PINK,A,1997,1990s
27,473,KISS,LICK IT UP,K,1983,1980s
28,472,U2,VERTIGO,U,2004,2000s
29,471,SIOUXSIE AND THE BANSHEES,CITIES IN DUST,S,1985,1980s
30,470,RED HOT CHILI PEPPERS,AEROPLANE,R,1996,1990s
31,469,THE SMITHS,PANIC,S,1986,1980s
32,468,QUEENS OF THE STONE AGE,NO ONE KNOWS,Q,2002,2000s
33,467,BON JOVI,I'LL BE THERE FOR YOU,B,1989,1980s
34,466,UGLY KID JOE,CATS IN THE CRADLE,U,1974,1970s
35,465,SUBLIME,SANTERIA,S,1997,1990s
36,464,HEART,BARRACUDA,H,1977,1970s
37,463,RUSH,COLD FIRE,R,1994,1990s
38,462,SIMPLE MINDS,ALIVE AND KICKING,S,1985,1980s
39,461,BAD COMPANY,CAN'T GET ENOUGH,B,1974,1970s
40,460,SOCIAL DISTORTION,BAD LUCK,S,1992,1990s
41,459,THE BEATLES,A HARD DAY'S NIGHT,B,1964,1960s
42,458,BILLY IDOL,DANCING WITH MYSELF,B,1980,1980s
43,457,SPIN DOCTORS,TWO PRINCES,S,1993,1990s
44,456,R.E.M.,IMITATION OF LIFE,R,2001,2000s
45,455,NEW MODEL ARMY,51ST STATE,N,1986,1980s
46,454,FAITH NO MORE,WE CARE A LOT,F,1985,1980s
47,453,AEROSMITH,FULL CIRCLE,A,1997,1990s
48,452,OASIS,DON'T GO AWAY,O,1998,1990s
49,451,SILVERCHAIR,FREAK,S,1997,1990s
50,450,ALICE IN CHAINS,NO EXCUSES,A,1994,1990s
51,449,BON JOVI,BAD MEDICINE,B,1988,1980s
52,448,HOODOO GURUS,1000 MILES AWAY,H,1991,1990s
53,447,MORRISSEY,ALMA MATTERS,M,1997,1990s
54,446,RED HOT CHILI PEPPERS,AROUND THE WORLD,R,1999,1990s
55,445,THE BEATLES,TICKET TO RIDE,B,1965,1960s
56,444,VAN HALEN,NOT ENOUGH,V,1995,1990s
57,443,SKID ROW,IN A DARKENED ROOM,S,1991,1990s
58,442,RED HOT CHILI PEPPERS,UNDER THE BRIDGE,R,1992,1990s
59,441,OASIS,MORNING GLORY,O,1995,1990s
60,440,MR. BIG,TAKE COVER,M,1996,1990s
61,439,LIVE,HEAVEN,L,2003,2000s
62,438,FAITH NO MORE,EVIDENCE,F,1995,1990s
63,437,AEROSMITH,LIVIN' ON THE EDGE,A,1993,1990s
64,436,THE COMMITMENTS,IN THE MIDNIGHT HOUR,C,1991,1990s
65,435,MIDNIGHT OIL,THE DEAD HEART,M,1986,1980s
66,434,L7,PRETEND WE'RE DEAD,L,1992,1990s
67,433,THE CURE,WHY CAN'T I BE YOU?,C,1987,1980s
68,432,THE CLASH,POLICE ON MY BACK,C,1980,1980s
69,431,COLLECTIVE SOUL,DECEMBER,C,1995,1990s
70,430,BILLY IDOL,EYES WITHOUT A FACE,B,1984,1980s
71,429,STONE SOUR,THROUGH GLASS,S,2006,2000s
72,428,U2,I WILL FOLLOW,U,1980,1980s
73,427,IRON MAIDEN,THE TROOPER,I,2005,2000s
74,426,MIDNIGHT OIL,KING OF THE MOUNTAIN,M,1990,1990s
75,425,LINKIN PARK,SOMEWHERE I BELONG,L,2003,2000s
76,424,CRASH TEST DUMMIES,MMM MMM MMM MMM,C,1993,1990s
77,423,ELVIS PRESLEY,BLUE SUEDE SHOES,E,1956,1950s
78,422,THE CRANBERRIES,LINGER,C,1994,1990s
79,421,BLUE ÖYSTER CULT,BURNIN' FOR YOU,B,1981,1980s
80,420,TOMMY TUTONE,867-5309/JENNY,T,1981,1980s
81,419,U2,I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,U,1987,1980s
82,418,AEROSMITH,LOVE IN AN ELEVATOR,A,1989,1980s
83,417,DURAN DURAN,ORDINARY WORLD,D,1993,1990s
84,416,THE VERVE,BITTER SWEET SYMPHONY,V,1997,1990s
85,415,THE CLASH,ROCK THE CASBAH,C,1982,1980s
86,414,SOCIAL DISTORTION,STORY OF MY LIFE,S,1990,1990s
87,413,TEARS FOR FEARS,BREAK IT DOWN AGAIN,T,1993,1990s
88,412,NEIL YOUNG,ROCKIN' IN THE FREE WORLD,N,1989,1980s
89,411,COVERDALE/PAGE,SHAKE MY TREE,C,1993,1990s
90,410,ECHO & THE BUNNYMEN,LIPS LIKE SUGAR,E,1987,1980s
91,409,THE BOLSHOI,SUNDAY MORNING,B,1986,1980s
92,408,AC/DC,ARE YOU READY,A,1991,1990s
93,407,RUSH,ROLL THE BONES,R,1991,1990s
94,406,T.S.O.L.,FLOWERS BY THE DOOR,T,1984,1980s
95,405,BLUE ÖYSTER CULT,GODZILLA,B,1978,1970s
96,404,ARCTIC MONKEYS,FLUORESCENT ADOLESCENT,A,2007,2000s
97,403,BILLY IDOL,REBEL YELL,B,1983,1980s
98,402,U2,ONE,U,1992,1990s
99,401,TEMPLE OF THE DOG,HUNGER STRIKE,T,1991,1990s
100,400,THE BEATLES,THE BALLAD OF JOHN AND YOKO,B,1969,1960s
101,399,VAN HALEN,DANCE THE NIGHT AWAY,V,1979,1970s
102,398,R.E.M.,SHINY HAPPY PEOPLE,R,1991,1990s
103,397,MR. BIG,TO BE WITH YOU,M,1992,1990s
104,396,EXTREME,REST IN PEACE,E,1992,1990s
105,395,FRANZ FERDINAND,TAKE ME OUT,F,2004,2000s
106,394,SOUNDGARDEN,FELL ON BLACK DAYS,S,1994,1990s
107,393,THE OFFSPRING,COME OUT AND PLAY,O,1994,1990s
108,392,THE KNACK,MY SHARONA,K,1979,1970s
109,391,THE CURE,PICTURES OF YOU,C,1990,1990s
110,390,BON JOVI,KEEP THE FAITH,B,1992,1990s
111,389,TWISTED SISTER,WE'RE NOT GONNA TAKE IT,T,1984,1980s
112,388,THE CULT,WILD FLOWER,C,1987,1980s
113,387,LIMP BIZKIT,TAKE A LOOK AROUND,L,2000,2000s
114,386,MIDNIGHT OIL,FORGOTTEN YEARS,M,1990,1990s
115,385,FOGHAT,SLOW RIDE,F,1975,1970s
116,384,THE WHITE STRIPES,SEVEN NATION ARMY,W,2003,2000s
117,383,THE CURE,KILLING AN ARAB,C,1979,1970s
118,382,THE SMASHING PUMPKINS,1979,S,1996,1990s
119,381,A FLOCK OF SEAGULLS,I RAN (SO FAR AWAY),A,1982,1980s
120,380,TEARS FOR FEARS,EVERYBODY WANTS TO RULE THE WORLD,T,1985,1980s
121,379,AEROSMITH,FALLING IN LOVE (IS HARD ON THE KNEES),A,1997,1990s
122,378,MOTLEY CRUE,"GIRLS, GIRLS, GIRLS",M,1987,1980s
123,377,TOTO,AFRICA,T,1982,1980s
124,376,VAN HALEN,DREAMS,V,1986,1980s
125,375,GHOST,DANCE MACABRE,G,2018,2010s
126,374,AEROSMITH,I DON'T WANT TO MISS A THING,A,1998,1990s
127,373,TALKING HEADS,PSYCHO KILLER,T,1977,1970s
128,372,SKID ROW,18 AND LIFE,S,1989,1980s
129,371,RED HOT CHILI PEPPERS,CAN'T STOP,R,2003,2000s
130,370,LENNY KRAVITZ,ARE YOU GONNA GO MY WAY,L,1993,1990s
131,369,THE SMITHS,THIS CHARMING MAN,S,1983,1980s
132,368,NIRVANA,LITHIUM,N,1992,1990s
133,367,LINKIN PARK,NUMB,L,2003,2000s
134,366,METALLICA,WHISKEY IN THE JAR,M,1968,1960s
135,365,THE STROKES,LAST NITE,S,2001,2000s
136,364,SEX PISTOLS,GOD SAVE THE QUEEN,S,1962,1960s
137,363,ALICE COOPER,SCHOOL'S OUT,A,1972,1970s
138,362,PAUL MCCARTNEY,COME ON TO ME,P,2014,2010s
139,361,PETER SCHILLING,MAJOR TOM (COMING HOME),P,1983,1980s
140,360,TWISTED SISTER,I WANNA ROCK,T,1984,1980s
141,359,THE CLASH,TRAIN IN VAIN (STAND BY ME),C,1980,1980s
142,358,SUPERTRAMP,GIVE A LITTLE BIT,S,1977,1970s
